file_label                                      assembly_10 assembly_10 assembly_10 assembly_10
Genome mining tool                                antiSMASH     DeepBGC       GECCO       PRISM
Mean BGC length in genes (RiPP, complete)              22.0        13.0        11.5         4.0
Mean BGC length in genes (RiPP, incomplete)             8.0         3.0         0.0         0.0
Mean BGC length in genes (terpene, complete)           27.0         1.5        20.0         0.0
Mean BGC length in genes (terpene, incomplete)         21.0        27.0         0.0         0.0
Mean BGC length in genes (saccharide, complete)         0.0        24.0         0.0         0.0
Mean BGC length in genes (hybrid, complete)             0.0         6.0         0.0         0.0
Mean BGC length in genes (unknown, complete)            0.0         5.1        42.0         0.0
Mean BGC length in genes (unknown, incomplete)          0.0        40.0         0.0         0.0
# unique BGCs                                             6          26           1           0
# unique BGCs (NRPS)                                      1           0           0           0
# unique BGCs (PKS)                                       1           8           0           0
# unique BGCs (RiPP)                                      2           1           0           0
# unique BGCs (terpene)                                   2           3           0           0
# unique BGCs (saccharide)                                0           1           0           0
# unique BGCs (hybrid)                                    0           1           0           0
# unique BGCs (unknown)                                   0          12           1           0
# unique BGCs (complete)                                  2          24           1           0
# unique BGCs (incomplete)                                4           2           0           0
# unique BGCs (NRPS, complete)                            0           0           0           0
# unique BGCs (NRPS, incomplete)                          1           0           0           0
# unique BGCs (PKS, complete)                             0           8           0           0
# unique BGCs (PKS, incomplete)                           1           0           0           0
# unique BGCs (RiPP, complete)                            1           1           0           0
# unique BGCs (RiPP, incomplete)                          1           0           0           0
# unique BGCs (terpene, complete)                         1           2           0           0
# unique BGCs (terpene, incomplete)                       1           1           0           0
# unique BGCs (saccharide, complete)                      0           1           0           0
# unique BGCs (hybrid, complete)                          0           1           0           0
# unique BGCs (unknown, complete)                         0          11           1           0
# unique BGCs (unknown, incomplete)                       0           1           0           0
Unique BGC rate                                        1.00        0.65        0.17        0.00
Unique BGC rate (NRPS)                                 1.00        0.00        0.00        0.00
Unique BGC rate (PKS)                                  1.00        0.80        0.00        0.00
Unique BGC rate (RiPP)                                 1.00        0.33        0.00        0.00
Unique BGC rate (terpene)                              1.00        1.00        0.00        0.00
Unique BGC rate (saccharide)                           0.00        1.00        0.00        0.00
Unique BGC rate (hybrid)                               0.00        0.50        0.00        0.00
Unique BGC rate (unknown)                              0.00        0.60        1.00        0.00
Unique BGC rate (complete)                             1.00        0.69        0.20        0.00
Unique BGC rate (incomplete)                           1.00        0.40        0.00        0.00
Unique BGC rate (NRPS, complete)                       0.00        0.00        0.00        0.00
Unique BGC rate (NRPS, incomplete)                     1.00        0.00        0.00        0.00
Unique BGC rate (PKS, complete)                        0.00        0.89        0.00        0.00
Unique BGC rate (PKS, incomplete)                      1.00        0.00        0.00        0.00
Unique BGC rate (RiPP, complete)                       1.00        0.50        0.00        0.00
Unique BGC rate (RiPP, incomplete)                     1.00        0.00        0.00        0.00
Unique BGC rate (terpene, complete)                    1.00        1.00        0.00        0.00
Unique BGC rate (terpene, incomplete)                  1.00        1.00        0.00        0.00
Unique BGC rate (saccharide, complete)                 0.00        1.00        0.00        0.00
Unique BGC rate (hybrid, complete)                     0.00        0.50        0.00        0.00
Unique BGC rate (unknown, complete)                    0.00        0.58        1.00        0.00
Unique BGC rate (unknown, incomplete)                  0.00        1.00        0.00        0.00
